order_id,user_id,restaurant_id,order_date,total_amount,restaurant_name_x,name,city,membership,restaurant_name_y,cuisine,rating
27,1056,399,2023-08-08,678.38,Swagath Cafe Multicuisine,User_1056,Bangalore,Regular,Restaurant_399,Chinese,3.2
28,2370,63,2023-03-23,900.74,Ruchi Foods South Indian,User_2370,Bangalore,Regular,Restaurant_63,Italian,5.0
29,2905,115,2023-09-20,903.0,Annapurna Eatery Non-Veg,User_2905,Pune,Gold,Restaurant_115,Chinese,3.3
30,2009,18,2023-04-23,996.26,Annapurna Kitchen Family Restaurant,User_2009,Chennai,Gold,Restaurant_18,Italian,4.5
31,1986,190,2023-04-03,199.16,Amma Restaurant Pure Veg,User_1986,Bangalore,Regular,Restaurant_190,Chinese,3.1
32,1407,93,2023-01-26,741.1,Swagath Cafe Multicuisine,User_1407,Pune,Gold,Restaurant_93,Chinese,4.9
33,1761,346,2023-07-04,957.07,Amma Dhaba Non-Veg,User_1761,Bangalore,Gold,Restaurant_346,Indian,4.5
34,844,350,2023-06-15,455.96,Classic Curry House South Indian,User_844,Chennai,Gold,Restaurant_350,Mexican,3.2
35,2858,291,2023-05-15,121.81,Annapurna Foods Non-Veg,User_2858,Hyderabad,Regular,Restaurant_291,Mexican,4.3
36,186,113,2023-09-12,140.83,Darbar Biryani Pure Veg,User_186,Chennai,Regular,Restaurant_113,Chinese,5.0
37,952,34,2023-02-01,1198.64,Ruchi Dhaba Multicuisine,User_952,Chennai,Gold,Restaurant_34,Chinese,4.3
38,2972,376,2023-01-11,751.82,Amma Cafe Non-Veg,User_2972,Bangalore,Regular,Restaurant_376,Indian,3.4
39,118,170,2023-02-23,596.06,Spice Tiffins Family Restaurant,User_118,Pune,Regular,Restaurant_170,Mexican,4.4
40,2773,63,2023-07-25,622.5,Ruchi Foods South Indian,User_2773,Pune,Gold,Restaurant_63,Italian,5.0
41,1071,145,2023-01-09,753.16,Amma Restaurant South Indian,User_1071,Hyderabad,Gold,Restaurant_145,Italian,3.1
42,2274,121,2023-01-21,955.51,Sri Delights Non-Veg,User_2274,Chennai,Regular,Restaurant_121,Indian,4.1
43,380,256,2023-03-26,850.52,Sri Curry House Andhra,User_380,Bangalore,Regular,Restaurant_256,Italian,3.1
44,633,161,2023-12-04,512.14,Annapurna Biryani South Indian,User_633,Pune,Gold,Restaurant_161,Mexican,3.8
45,1146,426,2023-09-13,914.87,Royal Foods Non-Veg,User_1146,Pune,Gold,Restaurant_426,Chinese,3.5
46,2294,72,2023-12-25,602.82,Sri Foods Chinese,User_2294,Pune,Regular,Restaurant_72,Mexican,3.4
47,505,69,2023-09-30,929.24,Classic Tiffins Punjabi,User_505,Hyderabad,Gold,Restaurant_69,Chinese,4.9
48,372,397,2023-11-30,957.14,Amma Foods Family Restaurant,User_372,Chennai,Regular,Restaurant_397,Indian,4.8
49,2911,234,2023-02-10,183.82,Swagath Kitchen North Indian,User_2911,Pune,Regular,Restaurant_234,Chinese,3.7
50,1673,118,2023-09-26,298.54,Amma Mess Pure Veg,User_1673,Chennai,Regular,Restaurant_118,Mexican,3.8
51,1853,381,2023-05-10,893.66,New Delights North Indian,User_1853,Hyderabad,Gold,Restaurant_381,Italian,4.6
52,799,462,2023-08-18,1423.59,Grand Curry House Family Restaurant,User_799,Chennai,Regular,Restaurant_462,Italian,3.1
53,638,262,2023-12-14,261.16,Hotel Cafe Punjabi,User_638,Hyderabad,Regular,Restaurant_262,Chinese,4.9
54,1042,266,2023-09-06,334.11,Annapurna Delights Multicuisine,User_1042,Pune,Gold,Restaurant_266,Italian,3.9
55,2610,172,2023-06-08,838.38,Darbar Eatery Family Restaurant,User_2610,Pune,Regular,Restaurant_172,Italian,3.9
56,2560,215,2023-10-20,1499.8,Spice Biryani Punjabi,User_2560,Pune,Gold,Restaurant_215,Mexican,4.4
57,392,273,2023-06-16,852.11,Swagath Delights Andhra,User_392,Chennai,Regular,Restaurant_273,Indian,3.9
58,606,361,2023-02-22,1281.55,Royal Dhaba Punjabi,User_606,Hyderabad,Gold,Restaurant_361,Indian,4.5
59,1785,247,2023-11-07,169.22,Hotel Mess Punjabi,User_1785,Bangalore,Gold,Restaurant_247,Mexican,3.2
60,1077,373,2023-04-10,544.55,Sai Delights Chinese,User_1077,Chennai,Regular,Restaurant_373,Indian,3.6
61,1753,130,2023-08-30,1134.71,Royal Restaurant South Indian,User_1753,Hyderabad,Gold,Restaurant_130,Indian,4.6
62,723,165,2023-11-24,722.78,Udupi Kitchen Chinese,User_723,Bangalore,Gold,Restaurant_165,Mexican,4.3
63,205,339,2023-07-27,1107.3,Annapurna Eatery South Indian,User_205,Pune,Gold,Restaurant_339,Indian,3.1
64,1565,189,2023-03-09,625.41,Hotel Curry House Non-Veg,User_1565,Pune,Regular,Restaurant_189,Indian,4.8
65,2905,220,2023-04-07,881.86,Spice Kitchen North Indian,User_2905,Pune,Gold,Restaurant_220,Mexican,3.2
66,340,70,2023-08-12,1356.31,Swagath Delights Punjabi,User_340,Chennai,Regular,Restaurant_70,Chinese,4.7
67,2716,233,2023-08-07,781.02,Grand Cafe Family Restaurant,User_2716,Pune,Regular,Restaurant_233,Italian,4.5
68,850,292,2023-04-19,165.97,Amma Cafe North Indian,User_850,Chennai,Regular,Restaurant_292,Mexican,4.0
69,929,162,2023-07-10,1377.54,New Foods Multicuisine,User_929,Chennai,Gold,Restaurant_162,Italian,3.3
70,179,463,2023-09-23,890.18,Hotel Delights Chinese,User_179,Bangalore,Regular,Restaurant_463,Chinese,3.2
71,773,256,2023-05-18,1401.97,Sri Curry House Andhra,User_773,Pune,Gold,Restaurant_256,Italian,3.1
72,204,413,2023-11-28,575.36,Sai Curry House Punjabi,User_204,Bangalore,Regular,Restaurant_413,Italian,3.3
73,1725,80,2023-04-19,765.76,Spice Mess Chinese,User_1725,Bangalore,Gold,Restaurant_80,Italian,3.9
74,1284,229,2023-12-01,1223.01,Ruchi Mess Family Restaurant,User_1284,Chennai,Regular,Restaurant_229,Italian,3.8
75,849,444,2023-08-22,700.31,Classic Cafe Family Restaurant,User_849,Pune,Regular,Restaurant_444,Chinese,4.7
76,1565,233,2023-08-28,1117.61,Grand Cafe Family Restaurant,User_1565,Pune,Regular,Restaurant_233,Italian,4.5
77,1632,80,2023-10-22,851.28,Spice Mess Chinese,User_1632,Bangalore,Regular,Restaurant_80,Italian,3.9
78,2286,432,2023-12-24,271.81,Hotel Eatery Pure Veg,User_2286,Chennai,Regular,Restaurant_432,Mexican,5.0
79,1396,242,2023-03-09,1052.51,Classic Dhaba Punjabi,User_1396,Pune,Gold,Restaurant_242,Mexican,4.0
80,1965,291,2023-02-23,1323.7,Annapurna Foods Non-Veg,User_1965,Hyderabad,Gold,Restaurant_291,Mexican,4.3
81,2320,368,2023-08-18,537.78,Sri Dhaba Pure Veg,User_2320,Hyderabad,Gold,Restaurant_368,Indian,4.4
82,38,257,2023-01-11,1326.03,Sri Kitchen Family Restaurant,User_38,Chennai,Gold,Restaurant_257,Italian,3.4
83,1149,347,2023-09-03,961.02,Amma Delights Chinese,User_1149,Chennai,Gold,Restaurant_347,Chinese,4.8
84,2879,196,2023-12-29,488.53,Hotel Curry House Chinese,User_2879,Pune,Gold,Restaurant_196,Italian,5.0
85,2917,201,2023-11-12,1102.52,Spice Cafe Pure Veg,User_2917,Bangalore,Gold,Restaurant_201,Mexican,3.4
86,2563,423,2023-10-28,1018.04,Royal Tiffins Multicuisine,User_2563,Hyderabad,Regular,Restaurant_423,Indian,3.2
87,1750,385,2023-04-14,1103.42,Ruchi Mess Multicuisine,User_1750,Pune,Gold,Restaurant_385,Chinese,4.4
88,58,320,2023-06-01,196.11,Hotel Cafe Multicuisine,User_58,Bangalore,Regular,Restaurant_320,Italian,4.1
89,1619,158,2023-06-20,619.05,Hotel Biryani Pure Veg,User_1619,Bangalore,Regular,Restaurant_158,Indian,4.5
90,2760,320,2023-01-16,264.05,Hotel Cafe Multicuisine,User_2760,Hyderabad,Regular,Restaurant_320,Italian,4.1
91,2309,476,2023-07-07,391.36,Royal Curry House Multicuisine,User_2309,Chennai,Gold,Restaurant_476,Mexican,3.4
92,81,200,2023-01-07,870.09,Annapurna Restaurant Pure Veg,User_81,Chennai,Regular,Restaurant_200,Chinese,3.9
93,2874,1,2023-01-22,441.18,Royal Kitchen Family Restaurant,User_2874,Hyderabad,Regular,Restaurant_1,Chinese,4.8
94,587,176,2023-12-10,285.28,Classic Delights North Indian,User_587,Chennai,Regular,Restaurant_176,Italian,4.0
95,570,280,2023-02-20,795.58,Taste of Dhaba Andhra,User_570,Bangalore,Gold,Restaurant_280,Chinese,3.7
96,1048,157,2023-09-17,711.84,Sai Restaurant Family Restaurant,User_1048,Pune,Regular,Restaurant_157,Italian,4.5
97,614,335,2023-09-18,190.14,New Biryani Family Restaurant,User_614,Hyderabad,Regular,Restaurant_335,Italian,3.9
98,1135,161,2023-12-05,1225.83,Annapurna Biryani South Indian,User_1135,Bangalore,Regular,Restaurant_161,Mexican,3.8
99,549,11,2023-11-25,146.68,Taste of Kitchen Family Restaurant,User_549,Pune,Gold,Restaurant_11,Chinese,4.9
100,2811,484,2023-12-15,632.94,Taste of Biryani Punjabi,User_2811,Bangalore,Gold,Restaurant_484,Mexican,4.2
101,1337,96,2023-09-24,852.59,Annapurna Biryani Non-Veg,User_1337,Bangalore,Regular,Restaurant_96,Mexican,4.4
102,991,482,2023-03-07,913.83,Classic Tiffins Pure Veg,User_991,Pune,Regular,Restaurant_482,Chinese,4.5
103,1922,492,2023-04-11,1017.18,Swagath Kitchen North Indian,User_1922,Chennai,Gold,Restaurant_492,Italian,4.0
104,1115,379,2023-10-03,1191.17,New Dhaba South Indian,User_1115,Chennai,Regular,Restaurant_379,Mexican,4.1
105,804,407,2023-06-01,109.14,Grand Cafe Chinese,User_804,Bangalore,Gold,Restaurant_407,Mexican,4.6
106,2873,68,2023-11-18,1352.79,Taste of Biryani Andhra,User_2873,Pune,Gold,Restaurant_68,Italian,4.1
107,1118,388,2023-03-05,1037.09,Spice Cafe South Indian,User_1118,Pune,Gold,Restaurant_388,Indian,3.9
108,1493,5,2023-04-16,1375.29,Udupi Foods South Indian,User_1493,Chennai,Regular,Restaurant_5,Chinese,4.8
109,532,432,2023-05-27,1461.82,Hotel Eatery Pure Veg,User_532,Hyderabad,Gold,Restaurant_432,Mexican,5.0
110,1350,220,2023-06-04,932.09,Spice Kitchen North Indian,User_1350,Bangalore,Gold,Restaurant_220,Mexican,3.2
111,1416,66,2023-03-30,1346.23,Swagath Dhaba Punjabi,User_1416,Pune,Regular,Restaurant_66,Italian,4.7
112,2446,447,2023-11-15,149.76,Amma Biryani South Indian,User_2446,Bangalore,Gold,Restaurant_447,Chinese,3.2
113,2265,28,2023-04-13,475.81,Swagath Delights Multicuisine,User_2265,Pune,Gold,Restaurant_28,Chinese,3.6
114,142,390,2023-07-29,842.42,Grand Restaurant Pure Veg,User_142,Pune,Regular,Restaurant_390,Mexican,4.7
115,827,184,2023-02-17,367.72,Annapurna Tiffins Punjabi,User_827,Chennai,Gold,Restaurant_184,Mexican,3.5
116,2476,319,2023-03-12,296.82,Darbar Eatery Family Restaurant,User_2476,Pune,Regular,Restaurant_319,Indian,3.1
117,1449,328,2023-05-07,1485.31,Ruchi Curry House Andhra,User_1449,Pune,Gold,Restaurant_328,Mexican,4.6
118,1209,209,2023-07-22,880.41,Royal Tiffins Family Restaurant,User_1209,Bangalore,Gold,Restaurant_209,Indian,3.6
119,1741,257,2023-09-18,1008.64,Sri Kitchen Family Restaurant,User_1741,Pune,Gold,Restaurant_257,Italian,3.4
120,1385,379,2023-08-06,1146.39,New Dhaba South Indian,User_1385,Bangalore,Regular,Restaurant_379,Mexican,4.1
121,383,438,2023-07-31,930.64,Grand Biryani Pure Veg,User_383,Hyderabad,Regular,Restaurant_438,Italian,3.2
122,2661,376,2023-08-01,769.46,Amma Cafe Non-Veg,User_2661,Chennai,Gold,Restaurant_376,Indian,3.4
123,2440,73,2023-12-17,1492.73,Spice Mess Andhra,User_2440,Pune,Regular,Restaurant_73,Mexican,3.1
124,257,102,2023-06-07,996.95,Darbar Foods Andhra,User_257,Chennai,Regular,Restaurant_102,Italian,4.9
125,1649,14,2023-10-09,1345.86,Taste of Tiffins North Indian,User_1649,Chennai,Gold,Restaurant_14,Indian,3.8
126,970,122,2023-09-29,320.68,Amma Eatery Non-Veg,User_970,Bangalore,Regular,Restaurant_122,Indian,3.9
127,2913,309,2023-01-04,1251.4,Ruchi Curry House Multicuisine,User_2913,Pune,Gold,Restaurant_309,Indian,4.5
128,42,152,2023-06-10,379.57,Hotel Curry House Punjabi,User_42,Bangalore,Regular,Restaurant_152,Indian,4.8
129,1227,46,2023-11-28,158.62,Udupi Delights Family Restaurant,User_1227,Hyderabad,Gold,Restaurant_46,Chinese,3.6
130,1128,418,2023-09-05,710.77,Annapurna Foods Multicuisine,User_1128,Pune,Gold,Restaurant_418,Chinese,3.3
131,2850,389,2023-08-10,1406.07,Ruchi Mess Multicuisine,User_2850,Hyderabad,Gold,Restaurant_389,Italian,4.9
132,778,302,2023-03-03,198.22,Spice Curry House Andhra,User_778,Hyderabad,Gold,Restaurant_302,Mexican,4.9
133,2384,165,2023-03-29,872.28,Udupi Kitchen Chinese,User_2384,Pune,Regular,Restaurant_165,Mexican,4.3
134,45,220,2023-03-24,775.17,Spice Kitchen North Indian,User_45,Hyderabad,Gold,Restaurant_220,Mexican,3.2
135,912,483,2023-11-09,365.07,Darbar Restaurant Family Restaurant,User_912,Bangalore,Regular,Restaurant_483,Chinese,4.5
136,2643,175,2023-02-16,968.84,Sai Biryani Non-Veg,User_2643,Chennai,Regular,Restaurant_175,Chinese,4.1
137,1603,20,2023-05-27,1401.56,Hotel Cafe Punjabi,User_1603,Chennai,Gold,Restaurant_20,Indian,3.7
138,880,384,2023-05-09,1140.38,Annapurna Biryani Andhra,User_880,Pune,Regular,Restaurant_384,Mexican,4.6
139,1639,19,2023-04-20,1446.43,Classic Biryani Chinese,User_1639,Hyderabad,Regular,Restaurant_19,Indian,3.6
140,765,381,2023-03-13,1381.41,New Delights North Indian,User_765,Hyderabad,Gold,Restaurant_381,Italian,4.6
141,1831,384,2023-11-12,1129.47,Annapurna Biryani Andhra,User_1831,Hyderabad,Gold,Restaurant_384,Mexican,4.6
142,1860,112,2023-02-07,1331.64,Grand Cafe Punjabi,User_1860,Chennai,Gold,Restaurant_112,Chinese,3.2
143,1729,259,2023-11-22,158.75,Amma Curry House Family Restaurant,User_1729,Chennai,Gold,Restaurant_259,Mexican,3.7
144,2519,452,2023-04-16,247.03,Classic Delights Multicuisine,User_2519,Chennai,Gold,Restaurant_452,Chinese,4.4
145,1243,11,2023-09-17,365.51,Taste of Kitchen Family Restaurant,User_1243,Hyderabad,Gold,Restaurant_11,Chinese,4.9
146,93,2,2023-04-20,1250.74,Royal Delights South Indian,User_93,Bangalore,Regular,Restaurant_2,Indian,4.1
147,1821,268,2023-05-27,172.91,Annapurna Biryani Multicuisine,User_1821,Hyderabad,Regular,Restaurant_268,Indian,3.8
148,1975,73,2023-02-06,607.82,Spice Mess Andhra,User_1975,Bangalore,Regular,Restaurant_73,Mexican,3.1
149,2337,345,2023-06-24,932.79,Sai Tiffins Chinese,User_2337,Bangalore,Gold,Restaurant_345,Chinese,4.3
150,2136,486,2023-03-01,1402.24,Udupi Mess Andhra,User_2136,Hyderabad,Regular,Restaurant_486,Italian,4.1
151,863,474,2023-12-07,1148.35,Annapurna Tiffins Pure Veg,User_863,Bangalore,Gold,Restaurant_474,Mexican,3.5
152,2115,176,2023-09-29,112.31,Classic Delights North Indian,User_2115,Pune,Gold,Restaurant_176,Italian,4.0
153,2832,34,2023-02-16,641.49,Ruchi Dhaba Multicuisine,User_2832,Hyderabad,Gold,Restaurant_34,Chinese,4.3
154,623,244,2023-05-28,221.42,Amma Tiffins South Indian,User_623,Pune,Gold,Restaurant_244,Italian,4.3
155,2523,90,2023-03-12,484.27,Classic Biryani Pure Veg,User_2523,Pune,Gold,Restaurant_90,Italian,4.8
156,282,179,2023-08-02,1373.33,Annapurna Foods Multicuisine,User_282,Chennai,Gold,Restaurant_179,Italian,3.5
157,436,120,2023-05-26,439.11,Classic Biryani Multicuisine,User_436,Bangalore,Gold,Restaurant_120,Italian,3.2
158,2732,182,2023-01-16,439.9,Annapurna Restaurant Andhra,User_2732,Hyderabad,Regular,Restaurant_182,Mexican,4.8
159,2152,357,2023-01-04,1070.88,Grand Mess Punjabi,User_2152,Chennai,Gold,Restaurant_357,Italian,3.8
160,1291,381,2023-03-30,139.67,New Delights North Indian,User_1291,Chennai,Gold,Restaurant_381,Italian,4.6
161,354,319,2023-09-29,175.84,Darbar Eatery Family Restaurant,User_354,Chennai,Regular,Restaurant_319,Indian,3.1
162,939,208,2023-11-06,763.73,New Curry House South Indian,User_939,Chennai,Regular,Restaurant_208,Mexican,4.7
163,2852,86,2023-12-26,190.64,Sri Curry House Chinese,User_2852,Pune,Regular,Restaurant_86,Indian,4.2
164,2241,104,2023-08-08,411.65,Grand Dhaba South Indian,User_2241,Chennai,Regular,Restaurant_104,Chinese,4.9
165,1982,325,2023-05-12,761.84,Sri Cafe North Indian,User_1982,Chennai,Gold,Restaurant_325,Italian,4.5
166,1583,169,2023-10-06,456.5,Ruchi Curry House Pure Veg,User_1583,Hyderabad,Gold,Restaurant_169,Italian,4.2
167,1644,483,2023-10-11,427.18,Darbar Restaurant Family Restaurant,User_1644,Bangalore,Regular,Restaurant_483,Chinese,4.5
168,1437,135,2023-06-15,1357.22,Amma Eatery Non-Veg,User_1437,Hyderabad,Gold,Restaurant_135,Indian,3.7
169,2475,320,2023-04-07,1013.3,Hotel Cafe Multicuisine,User_2475,Pune,Gold,Restaurant_320,Italian,4.1
170,2134,290,2023-03-09,1352.94,Taste of Kitchen Chinese,User_2134,Hyderabad,Regular,Restaurant_290,Chinese,4.9
171,968,319,2023-07-15,1102.1,Darbar Eatery Family Restaurant,User_968,Bangalore,Regular,Restaurant_319,Indian,3.1
172,1953,332,2023-01-22,1307.06,Classic Delights Family Restaurant,User_1953,Chennai,Gold,Restaurant_332,Chinese,4.8
173,1352,109,2023-06-18,164.31,Swagath Delights South Indian,User_1352,Pune,Gold,Restaurant_109,Chinese,5.0
174,740,371,2023-12-11,1161.71,Sai Dhaba Family Restaurant,User_740,Hyderabad,Gold,Restaurant_371,Chinese,3.1
175,238,379,2023-10-27,1482.75,New Dhaba South Indian,User_238,Hyderabad,Regular,Restaurant_379,Mexican,4.1
176,2544,171,2023-12-17,552.39,Ruchi Mess Non-Veg,User_2544,Hyderabad,Gold,Restaurant_171,Mexican,3.6
177,2271,117,2023-05-15,1088.98,Darbar Eatery North Indian,User_2271,Pune,Gold,Restaurant_117,Indian,3.9
178,424,375,2023-05-14,1402.18,Hotel Delights Multicuisine,User_424,Bangalore,Gold,Restaurant_375,Chinese,4.3
179,1437,91,2023-09-07,703.69,Annapurna Mess Non-Veg,User_1437,Hyderabad,Gold,Restaurant_91,Italian,4.8
180,816,399,2023-05-19,1289.82,Swagath Cafe Multicuisine,User_816,Chennai,Regular,Restaurant_399,Chinese,3.2
181,1090,136,2023-04-20,1437.19,Hotel Cafe South Indian,User_1090,Pune,Regular,Restaurant_136,Indian,3.6
182,131,123,2023-02-09,1470.97,Grand Restaurant Non-Veg,User_131,Chennai,Gold,Restaurant_123,Chinese,4.2
183,724,489,2023-06-26,561.65,Swagath Foods Punjabi,User_724,Hyderabad,Regular,Restaurant_489,Italian,3.0
184,1945,391,2023-03-09,518.58,Sri Biryani Family Restaurant,User_1945,Pune,Regular,Restaurant_391,Indian,3.3
185,1722,54,2023-08-13,105.4,Ruchi Tiffins Multicuisine,User_1722,Hyderabad,Gold,Restaurant_54,Italian,4.9
186,2704,285,2023-05-31,1028.25,Ruchi Eatery North Indian,User_2704,Pune,Gold,Restaurant_285,Mexican,4.8
187,2805,116,2023-06-22,803.92,Grand Cafe Punjabi,User_2805,Bangalore,Regular,Restaurant_116,Chinese,4.2
188,2666,277,2023-06-30,558.85,Swagath Restaurant North Indian,User_2666,Chennai,Gold,Restaurant_277,Mexican,3.3
189,574,442,2023-09-02,805.04,Sai Eatery Andhra,User_574,Chennai,Regular,Restaurant_442,Italian,3.7
190,1542,237,2023-03-13,501.58,Grand Restaurant South Indian,User_1542,Bangalore,Regular,Restaurant_237,Italian,4.5
191,2482,116,2023-05-05,1340.73,Grand Cafe Punjabi,User_2482,Chennai,Regular,Restaurant_116,Chinese,4.2
192,345,76,2023-04-24,862.55,Amma Kitchen Punjabi,User_345,Chennai,Gold,Restaurant_76,Italian,4.7
193,2405,126,2023-01-20,261.66,Spice Tiffins North Indian,User_2405,Bangalore,Regular,Restaurant_126,Italian,4.5
194,914,183,2023-07-17,401.42,Taste of Biryani Non-Veg,User_914,Bangalore,Regular,Restaurant_183,Chinese,3.7
195,1258,58,2023-02-12,1179.75,Sai Biryani Multicuisine,User_1258,Pune,Regular,Restaurant_58,Indian,4.4
196,789,254,2023-07-25,967.6,Ruchi Dhaba Chinese,User_789,Pune,Regular,Restaurant_254,Indian,4.7
197,996,58,2023-03-03,619.68,Sai Biryani Multicuisine,User_996,Chennai,Gold,Restaurant_58,Indian,4.4
198,767,243,2023-04-05,1389.57,Grand Tiffins South Indian,User_767,Hyderabad,Gold,Restaurant_243,Chinese,4.8
199,2543,94,2023-10-06,844.75,Taste of Eatery Andhra,User_2543,Pune,Regular,Restaurant_94,Chinese,4.5
200,2619,263,2023-02-08,258.38,Grand Curry House Andhra,User_2619,Bangalore,Regular,Restaurant_263,Indian,4.4
201,1782,49,2023-05-20,375.74,Amma Curry House Punjabi,User_1782,Hyderabad,Gold,Restaurant_49,Italian,4.0
202,1347,43,2023-02-25,1169.6,Sai Cafe North Indian,User_1347,Chennai,Gold,Restaurant_43,Chinese,4.9
203,482,376,2023-01-30,986.26,Amma Cafe Non-Veg,User_482,Hyderabad,Regular,Restaurant_376,Indian,3.4
204,2094,364,2023-10-23,1164.27,Sri Foods Non-Veg,User_2094,Hyderabad,Gold,Restaurant_364,Mexican,3.4
205,1380,54,2023-12-25,121.12,Ruchi Tiffins Multicuisine,User_1380,Hyderabad,Regular,Restaurant_54,Italian,4.9
206,253,308,2023-12-17,200.98,Annapurna Biryani Family Restaurant,User_253,Chennai,Regular,Restaurant_308,Italian,4.3
207,2453,218,2023-02-23,1441.98,Sai Foods Pure Veg,User_2453,Pune,Regular,Restaurant_218,Indian,4.1
208,1642,352,2023-03-02,1250.84,Hotel Kitchen Multicuisine,User_1642,Bangalore,Gold,Restaurant_352,Italian,4.7
209,761,232,2023-02-01,353.88,New Dhaba Family Restaurant,User_761,Pune,Regular,Restaurant_232,Mexican,4.0
210,1816,458,2023-05-02,169.2,Swagath Mess Pure Veg,User_1816,Pune,Regular,Restaurant_458,Italian,4.8
211,1209,437,2023-12-26,484.58,Swagath Tiffins Chinese,User_1209,Bangalore,Gold,Restaurant_437,Indian,3.3
212,2339,20,2023-11-10,390.16,Hotel Cafe Punjabi,User_2339,Pune,Regular,Restaurant_20,Indian,3.7
213,2626,374,2023-05-24,701.52,Annapurna Curry House Multicuisine,User_2626,Bangalore,Gold,Restaurant_374,Mexican,3.6
214,66,365,2023-12-29,1229.36,Udupi Kitchen Multicuisine,User_66,Chennai,Gold,Restaurant_365,Italian,3.6
215,1087,446,2023-07-24,334.56,Annapurna Cafe Andhra,User_1087,Pune,Regular,Restaurant_446,Indian,4.9
216,105,106,2023-04-08,455.32,Spice Foods Non-Veg,User_105,Hyderabad,Gold,Restaurant_106,Indian,4.8
217,1846,376,2023-02-20,538.3,Amma Cafe Non-Veg,User_1846,Chennai,Regular,Restaurant_376,Indian,3.4
218,327,138,2023-03-14,825.18,Classic Mess Punjabi,User_327,Hyderabad,Regular,Restaurant_138,Indian,4.8
219,430,125,2023-02-03,883.67,Sai Foods Family Restaurant,User_430,Hyderabad,Gold,Restaurant_125,Chinese,4.3
220,1154,132,2023-12-17,394.85,Spice Tiffins Chinese,User_1154,Bangalore,Regular,Restaurant_132,Indian,3.7
221,2922,338,2023-04-17,616.19,Grand Kitchen Non-Veg,User_2922,Chennai,Gold,Restaurant_338,Mexican,4.5
222,1884,459,2023-05-18,572.97,Sai Delights Non-Veg,User_1884,Chennai,Regular,Restaurant_459,Italian,4.6
223,1118,407,2023-04-10,1477.26,Grand Cafe Chinese,User_1118,Pune,Gold,Restaurant_407,Mexican,4.6
